N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
19,5.3,708,7.38,0.29,1.06,0.17,0.76,0.92,2.88,0
56,7.7,444,7.32,0.67,0.83,0.23,0.95,0.88,2.65,0
50,8.3,475,7.36,0.34,0.83,0.43,0.59,0.89,2.2,1
38,7.5,454,7.4,0.48,0.92,0.3,1.29,1.71,4.99,0
25,8.1,591,7.33,0.43,0.78,0.46,0.35,1.74,2.38,0
82,7.2,507,7.63,0.44,0.61,0.56,0.35,1.6,2.66,1
88,7.7,708,7.52,0.37,0.78,0.19,0.74,1.43,2.42,0
144,7.2,623,7.57,0.54,0.92,0.37,0.51,1.69,6,0
213,8.6,718,7.59,0.68,0.86,0.3,0.46,1.53,9.53,1
282,5.7,454,7.48,0.46,0.81,0.32,0.5,1.34,3.7,1
264,9.4,475,7.52,0.43,0.78,0.27,0.61,1.41,2.88,1
301,7,507,7.46,0.42,0.69,0.23,0.46,1.02,2.71,1
226,7.5,348,7.62,0.31,0.75,0.78,0.4,1.04,2.43,0
307,5,327,7.58,0.56,0.61,0.46,0.68,1.14,2.79,1
326,5.9,517,7.41,0.32,0.81,0.5,0.65,1.16,2.27,1
251,5,391,7.59,0.62,0.89,0.56,0.64,1.03,7.75,1
213,4.8,444,7.55,0.47,0.75,0.63,0.5,1.02,7.71,0
195,5.5,507,7.57,0.37,0.69,0.28,0.48,0.91,1.89,0
31,5.9,581,7.33,0.71,0.83,0.37,0.54,1.13,1.99,0
69,6.8,465,7.51,0.46,0.78,0.32,0.49,1.06,2.1,0
182,7.5,391,7.57,0.53,0.78,0.37,0.53,1.02,7.77,0
19,6.4,454,7.49,0.6,0.61,0.48,0.63,0.86,2,0
132,5.5,655,7.31,0.71,0.67,0.38,1.07,1.71,4.43,0
163,7.7,517,7.32,0.49,0.75,0.35,3.42,1.6,10.61,0
182,8.1,507,7.23,0.73,0.81,0.37,2.19,1.52,2.75,0
295,5.5,433,7.34,0.46,0.75,0.42,0.6,1.22,2.53,1
201,5.7,253,7.51,0.63,0.83,0.44,0.77,1.16,3.76,0
6,5,465,7.47,0.42,0.81,0.48,0.5,1.21,2.62,0
56,6.6,401,7.46,0.57,0.89,0.47,0.64,1.18,3.66,0
132,8.3,444,7.62,0.43,0.75,0.45,1.2,1.25,2.76,0
69,8.1,338,7.5,0.63,0.78,0.37,2.12,1.03,2.84,0
270,7,391,7.4,0.61,0.67,0.42,1.18,1.04,2.76,1
326,7.5,401,7.3,0.23,0.56,0.52,2.08,1.68,3.43,1
351,8.6,454,7.5,0.38,0.72,0.48,2.06,1.26,2.77,1
13,8.3,644,7.5,0.71,0.67,0.45,1.06,1.05,3.63,0
314,8.1,454,7.4,0.59,0.75,0.36,0.59,1.25,2.76,1
282,8.3,465,7.4,0.76,0.61,0.38,0.74,1.43,2.74,1
6,7.5,412,7.4,0.41,0.81,0.46,0.5,1.47,2.97,0
270,8.6,486,7.4,0.67,0.89,0.71,0.59,1.24,2.89,1
220,5.5,539,7.6,0.42,0.83,0.39,0.52,1.21,2.5,0
151,4.8,454,7.3,0.77,0.75,0.36,0.67,1.24,2.76,0
